Temp.,Sali.,Chl.a
2.3,25,9.31
2.2,25,9.28
2.18,25.1,9.37
2.15,25.1,9.41
2.15,25,9.35
2.15,25,9.4
2.15,25.1,9.4
2.15,25,9.41
2.15,25,9.41
2.15,24.9,9.41
2.15,24.9,9.41
2.15,24.8,9.41
2.15,24.8,9.41
2.15,24.7,9.41
2.15,24.7,9.41
2.15,24.7,9.41
2.15,24.6,9.41
2.15,24.6,9.41
2.15,24.5,9.41
2.15,24.5,9.41
2.15,24.5,9.41
2.15,24.4,9.41
2.15,24.4,9.41
2.15,24.3,9.41
2.15,24.3,9.41
2.15,24.2,9.41
2.15,24.2,9.33
2.15,24.2,9.3
2.15,24.1,9.3
2.15,24.1,9.3
2.15,24,9.3
2.15,24,9.31
2.15,23.9,9.19
2.15,23.9,9.19
2.15,23.9,9.19
2.15,23.8,9.19
2.15,23.8,9.19
2.15,23.8,9.19
2.15,23.7,9.2
2.15,23.7,9.08
2.15,23.7,9.08
2.15,23.6,9.08
2.15,23.6,9.08
2.15,23.5,9.08
2.15,23.5,9.09
2.15,23.5,8.96
2.15,23.4,8.97
2.15,23.4,8.97
2.15,23.4,8.97
2.19,23.3,8.97
1.97,23.3,8.97
2.29,23.3,8.97
2.3,23.2,8.98
2.36,23.2,8.88
2.48,23.2,8.87
2.58,23.1,8.87
2.64,23.1,8.87
2.7,23.1,8.87
2.89,23.1,8.87
2.92,23,8.87
3.11,23,8.87
3.15,23,8.87
3.33,22.9,8.76
3.51,22.9,8.76
3.56,22.9,8.76
3.73,22.9,8.76
3.9,22.8,8.76
3.97,22.8,8.75
4.22,22.8,8.73
4.29,22.8,8.65
4.46,22.8,8.65
4.63,22.7,8.65
4.68,22.7,8.66
4.86,22.7,8.53
5.04,22.7,8.54
5.11,22.6,8.51
5.28,22.6,8.44
5.42,22.6,8.32
5.7,22.6,8.22
5.82,22.6,8.11
5.93,22.6,7.99
6.22,22.6,7.83
6.39,22.5,7.68
6.66,22.5,7.5
6.82,22.5,7.39
6.98,22.5,7.25
7.27,22.5,7.03
7.43,22.5,6.81
7.6,22.5,6.68
7.76,22.5,6.57
8.03,22.5,6.37
8.09,22.4,6.24
8.26,22.4,6.07
8.51,22.4,5.9
8.72,22.4,5.73
8.84,22.4,5.69
8.95,22.4,5.51
9.14,22.4,5.44
9.38,22.4,5.39
9.54,22.4,5.3
9.61,22.4,5.18
9.79,22.4,5.19
9.9,22.4,5.19
10,22.4,5.19
10.1,22.4,5.31
10.1,22.4,5.3
10.1,22.4,5.3
10.1,22.4,5.33
10.1,22.4,5.41
10.1,22.4,5.4
10.1,22.5,5.51
10.1,22.5,5.5
10.1,22.5,5.63
10.1,22.5,5.62
10.1,22.5,5.64
10.1,22.5,5.74
10.1,22.5,5.77
10.1,22.5,5.84
10.1,22.5,5.89
10.1,22.5,5.94
10.1,22.6,6.02
10.1,22.6,6.05
10.2,22.6,6.14
10.5,22.6,6.19
10.9,22.6,6.27
11.4,22.6,6.38
12,22.7,6.49
12.6,22.7,6.55
13.3,22.7,6.6
14,22.7,6.8
14.7,22.8,6.86
15.4,22.8,7.02
16.1,22.8,7.26
16.8,22.8,7.45
17.3,22.8,7.74
17.8,22.9,7.91
18.1,22.9,8.25
18.5,22.9,8.59
18.8,22.9,8.92
19.1,22.9,9.26
19.2,23,9.6
19.6,23,9.99
19.8,23,10.4
20,23.1,10.9
20.3,23.1,11.5
20.5,23.1,12
20.7,23.2,12.7
20.9,23.2,13.3
21,23.2,14
21.2,23.3,14.7
21.4,23.3,15.5
21.4,23.3,16.4
21.6,23.4,17.2
21.7,23.4,17.8
21.8,23.4,18.2
21.9,23.4,18.2
22,23.5,17.7
22.1,23.5,16.6
22.2,23.6,15.4
22.2,23.6,14.3
22.3,23.7,13.4
22.4,23.7,12.7
22.4,23.7,12.7
22.5,23.7,13.3
22.5,23.8,14.4
22.5,23.8,15.7
22.6,23.9,16.9
22.6,23.9,17.9
22.5,23.9,18.7
22.2,24,19.1
22.1,24,19.2
21.8,24.1,19.4
21.3,24.1,19.5
20.9,24.1,19.6
20.4,24.2,19.7
20.1,24.2,19.7
19.6,24.3,19.5
19.1,24.3,18.7
18.8,24.3,17.6
18.4,24.4,16.1
18.3,24.5,14.8
18.2,24.5,13.5
18.1,24.5,12.8
18.2,24.6,12.7
18.3,24.6,13
18.5,24.7,13.5
18.8,24.7,14
19.2,24.7,14.6
19.6,24.8,15.1
19.9,24.8,15.4
20.4,24.9,15.5
20.7,24.9,15.3
21,25,15
21.4,25,14.9
21.7,25,14.5
21.9,25.1,14.2
22,25.1,13.8
22.1,25.2,13.5
22.1,25.2,13.2
21.8,25.2,13.1
21.9,25.3,12.8
21.9,25.4,12.6
21.9,25.4,12.3
21.9,25.4,11.9
21.9,25.5,11.6
21.9,25.5,11
21.9,25.5,10.3
21.9,25.6,9.65
21.9,25.6,9.12
21.9,25.7,8.6
21.9,25.7,8.27
21.9,25.7,8.32
21.9,25.8,8.41
21.9,25.8,8.76
22,25.9,9.17
22.1,25.9,9.56
22.4,26,10
22.8,26,10.2
23.2,26,10.4
23.7,26.1,10.4
24.2,26.1,10.5
24.6,26.1,10.6
25.2,26.2,10.6
25.6,26.2,10.7
26,26.3,10.7
26.3,26.3,10.7
26.6,26.3,10.5
26.8,26.4,10.5
26.8,26.4,10.1
26.8,26.4,10
26.6,26.5,9.76
26.5,26.5,9.6
26.2,26.5,9.52
25.9,26.6,9.4
25.5,26.6,9.31
25.2,26.6,9.26
24.8,26.7,9.19
24.4,26.7,9.2
24,26.7,9.08
23.6,26.8,9.07
23.5,26.8,9.19
23.2,26.8,9.38
23,26.8,9.48
22.9,26.9,9.62
22.8,26.9,9.91
22.8,26.9,10.1
22.9,26.9,10.4
23,27,10.6
23,27,11
23.2,27,11.4
23.2,27,11.8
23.4,27.1,12.1
23.5,27.1,12.4
23.5,27.1,12.6
23.6,27.2,12.7
23.7,27.2,12.6
23.8,27.2,12.4
23.8,27.2,12.3
23.9,27.2,12.1
23.9,27.2,12
23.8,27.2,11.7
23.8,27.3,11.5
23.7,27.3,11.2
23.6,27.3,10.9
23.4,27.3,10.7
23.3,27.3,10.4
23.2,27.3,10.3
22.9,27.3,9.93
22.7,27.4,9.83
22.5,27.4,9.62
22.2,27.4,9.38
22.1,27.4,9.22
21.8,27.4,9.04
21.5,27.4,8.99
21.3,27.4,8.74
21,27.4,8.65
20.7,27.4,8.49
20.3,27.4,8.32
20,27.4,8.26
19.5,27.4,8.09
19,27.4,7.91
18.6,27.4,7.87
18.1,27.4,7.68
17.6,27.4,7.62
17.3,27.4,7.57
16.9,27.4,7.45
16.4,27.4,7.46
16.3,27.4,7.38
16,27.4,7.35
15.8,27.4,7.45
15.8,27.4,7.49
15.6,27.4,7.68
15.5,27.4,7.8
15.5,27.4,7.91
15.4,27.4,8.2
15.3,27.4,8.37
15.3,27.4,8.71
15.2,27.4,8.98
15.2,27.3,9.17
15.1,27.3,9.51
15.1,27.3,9.85
15,27.3,10.3
14.9,27.3,10.6
14.9,27.3,11.1
14.9,27.3,11.4
14.9,27.3,11.8
14.7,27.2,12.1
14.7,27.2,12.5
14.8,27.2,13
14.6,27.2,13.3
14.7,27.2,13.7
14.5,27.2,14.1
14.5,27.1,14.5
14.4,27.1,14.7
14.4,27.1,15
14.3,27,15.4
14.3,27,15.7
14.1,27,16
14.1,27,16.3
14,27,16.5
13.8,26.9,16.8
13.7,26.9,17.2
13.5,26.9,17.3
13.2,26.8,17.6
12.9,26.8,18
12.6,26.8,18.3
12.2,26.8,18.7
11.7,26.7,18.7
11.3,26.7,19.1
10.8,26.7,19.4
10.1,26.6,19.8
9.69,26.6,19.9
9.12,26.6,20.2
8.55,26.5,20.4
7.91,26.5,20.7
7.43,26.5,21
6.81,26.4,21.1
6.29,26.4,21.3
5.72,26.4,21.5
5.15,26.3,21.6
4.69,26.3,21.7
4.26,26.3,21.8
3.73,26.3,21.8
3.35,26.2,21.9
2.93,26.2,21.9
2.56,26.1,21.8
2.48,26.1,21.7
2.14,26,21.4
1.98,26,21.3
1.95,26,20.9
1.9,25.9,20.5
1.98,25.9,20.1
1.97,25.9,19.6
1.97,25.8,19.1
1.97,25.8,18.5
1.97,25.7,17.9
1.97,25.7,17.2
1.97,25.6,16.6
1.97,25.6,15.8
1.97,25.6,14.9
1.97,25.5,14.3
1.97,25.5,13.4
1.97,25.4,12.6
2.01,25.4,11.8
1.96,25.3,10.9